date,QQQM,INTC,MBLY,VT,VOO,AAPL,GOOGL,MSFT
2020-10-13,121.05000305175781,53.83000183105469,,84.08999633789062,321.6499938964844,121.0999984741211,78.35350036621094,222.86000061035156
2020-10-14,119.97000122070312,53.54999923706055,,83.72000122070312,319.6400146484375,121.19000244140625,78.1719970703125,220.86000061035156
2020-10-15,119.10700225830078,53.849998474121094,,83.31999969482422,319.260009765625,120.70999908447266,77.77349853515625,219.66000366210938
2020-10-16,118.5,54.15999984741211,,83.36000061035156,318.989990234375,119.0199966430664,78.38500213623047,219.66000366210938
2020-10-19,116.44999694824219,54.58000183105469,,82.56999969482422,314.1700134277344,115.9800033569336,76.49749755859375,214.22000122070312
2020-10-20,116.88999938964844,53.43000030517578,,82.95999908447266,315.4100036621094,117.51000213623047,77.55400085449219,214.64999389648438
2020-10-21,117.04000091552734,53.5,,82.75,314.8399963378906,116.87000274658203,79.29949951171875,214.8000030517578
2020-10-22,116.72000122070312,53.900001525878906,,83.06999969482422,316.57000732421875,115.75,80.33300018310547,214.88999938964844
2020-10-23,117.0,48.20000076293945,,83.44999694824219,317.6499938964844,115.04000091552734,81.64900207519531,216.22999572753906
2020-10-26,115.18000030517578,46.720001220703125,,81.97000122070312,311.79998779296875,115.05000305175781,79.2145004272461,210.0800018310547
2020-10-27,116.08999633789062,45.63999938964844,,81.62000274658203,310.7699890136719,116.5999984741211,79.94400024414062,213.25
2020-10-28,111.69000244140625,44.25,,79.08999633789062,300.07000732421875,111.19999694824219,75.54000091552734,202.67999267578125
2020-10-29,113.51000213623047,44.11000061035156,,79.77999877929688,303.2300109863281,115.31999969482422,77.84400177001953,204.72000122070312
2020-10-30,110.86000061035156,44.279998779296875,,78.98999786376953,299.82000732421875,108.86000061035156,80.80549621582031,202.47000122070312
2020-11-02,110.9000015258789,44.459999084472656,,79.97000122070312,303.30999755859375,108.7699966430664,81.21600341796875,202.3300018310547
2020-11-03,113.43099975585938,44.849998474121094,,81.4800033569336,308.6600036621094,110.44000244140625,82.28299713134766,206.42999267578125
2020-11-04,117.79000091552734,45.70000076293945,,83.01000213623047,315.6099853515625,114.94999694824219,87.2925033569336,216.38999938964844
2020-11-05,120.91999816894531,45.68000030517578,,84.7699966430664,321.7900085449219,119.02999877929688,88.125,223.2899932861328
2020-11-06,121.0,45.38999938964844,,84.87000274658203,321.75,118.69000244140625,87.98650360107422,223.72000122070312
2020-11-09,118.5,45.599998474121094,,86.2300033569336,325.760009765625,116.31999969482422,88.07099914550781,218.38999938964844
2020-11-10,116.31700134277344,45.439998626708984,,86.29000091552734,325.3399963378906,115.97000122070312,86.88600158691406,211.00999450683594
2020-11-11,119.11000061035156,46.349998474121094,,86.83999633789062,327.6300048828125,119.48999786376953,87.36150360107422,216.5500030517578
2020-11-12,118.41999816894531,44.95000076293945,,85.91999816894531,324.6000061035156,119.20999908447266,87.14099884033203,215.44000244140625
2020-11-13,119.55000305175781,45.459999084472656,,87.12999725341797,329.010009765625,119.26000213623047,88.61299896240234,216.50999450683594
2020-11-16,120.06999969482422,46.189998626708984,,88.23999786376953,333.0,120.30000305175781,88.70149993896484,217.22999572753906
2020-11-17,120.05999755859375,45.529998779296875,,88.05999755859375,331.3399963378906,119.38999938964844,88.08300018310547,214.4600067138672
2020-11-18,119.5479965209961,45.060001373291016,,87.30000305175781,327.32000732421875,118.02999877929688,87.03199768066406,211.0800018310547
2020-11-19,120.12999725341797,45.619998931884766,,87.83999633789062,328.69000244140625,118.63999938964844,87.92849731445312,212.4199981689453
2020-11-20,119.38999938964844,45.38999938964844,,87.69999694824219,326.489990234375,117.33999633789062,86.81900024414062,210.38999938964844
2020-11-23,119.30000305175781,46.060001373291016,,88.12999725341797,328.4200134277344,113.8499984741211,86.37799835205078,210.11000061035156
2020-11-24,121.04000091552734,47.0099983215332,,89.47000122070312,333.739990234375,115.16999816894531,88.19499969482422,213.86000061035156
2020-11-25,121.71900177001953,47.04999923706055,,89.33000183105469,333.19000244140625,116.02999877929688,88.20649719238281,213.8699951171875
2020-11-27,122.75,47.45000076293945,,89.7699966430664,334.1400146484375,116.58999633789062,89.35099792480469,215.22999572753906
2020-11-30,123.01000213623047,48.349998474121094,,88.76000213623047,332.6400146484375,119.05000305175781,87.72000122070312,214.07000732421875
2020-12-01,124.72000122070312,49.560001373291016,,90.08000183105469,336.29998779296875,122.72000122070312,89.76799774169922,216.2100067138672
2020-12-02,124.83999633789062,49.900001525878906,,90.13999938964844,337.010009765625,123.08000183105469,91.24849700927734,215.3699951171875
2020-12-03,125.0199966430664,50.9900016784668,,90.44000244140625,336.9100036621094,122.94000244140625,91.09200286865234,214.24000549316406
2020-12-04,125.44999694824219,51.9900016784668,,91.30999755859375,339.80999755859375,122.25,91.18800354003906,214.36000061035156
2020-12-07,125.83000183105469,50.20000076293945,,91.0199966430664,339.17999267578125,123.75,90.85150146484375,214.2899932861328
2020-12-08,126.6050033569336,50.689998626708984,,91.30999755859375,340.1600036621094,124.37999725341797,90.56649780273438,216.00999450683594
2020-12-09,123.8499984741211,50.06999969482422,,90.75,337.1400146484375,121.77999877929688,88.89299774169922,211.8000030517578
2020-12-10,124.26000213623047,50.2599983215332,,91.01000213623047,336.9800109863281,123.23999786376953,88.38249969482422,210.52000427246094
2020-12-11,123.97000122070312,49.72999954223633,,90.7699966430664,336.54998779296875,122.41000366210938,88.73999786376953,213.25999450683594
2020-12-14,124.88999938964844,50.470001220703125,,90.56999969482422,335.010009765625,121.77999877929688,87.61299896240234,214.1999969482422
