date,QQQM,INTC,MBLY,VT,VOO,AAPL,GOOGL,MSFT
2025-03-05 14:30:00,203.27999877929688,20.69879913330078,14.430000305175781,119.05000305175781,529.5999145507812,231.77000427246094,169.91000366210938,389.3371887207031
2025-03-05 15:00:00,203.4499969482422,20.5049991607666,14.289999961853027,119.05999755859375,529.5599975585938,230.9199981689453,170.03500366210938,391.5400085449219
2025-03-05 15:30:00,204.13999938964844,20.665000915527344,14.340200424194336,119.2699966430664,530.47998046875,232.57000732421875,170.3300018310547,392.5
2025-03-05 16:00:00,203.11439514160156,20.405000686645508,14.34000015258789,118.94000244140625,528.6171875,230.6490020751953,169.9250030517578,392.0492858886719
2025-03-05 16:30:00,203.47000122070312,20.364999771118164,14.36989974975586,119.11000061035156,529.5599975585938,232.1999969482422,169.82000732421875,392.1199951171875
2025-03-05 17:00:00,204.7803955078125,20.366500854492188,14.31309986114502,119.58000183105469,532.0087280273438,234.53990173339844,170.91000366210938,394.7715148925781
2025-03-05 17:30:00,205.79989624023438,20.354999542236328,14.40999984741211,119.91999816894531,534.010009765625,234.94500732421875,172.88999938964844,396.9100036621094
2025-03-05 18:00:00,205.10499572753906,20.295000076293945,14.359999656677246,119.62999725341797,532.5399169921875,234.67999267578125,172.1699981689453,395.5
2025-03-05 18:30:00,206.0406951904297,20.38920021057129,14.75,120.02999877929688,534.6599731445312,235.82000732421875,172.64500427246094,396.70001220703125
2025-03-05 19:00:00,206.49000549316406,20.354999542236328,14.78499984741211,120.29000091552734,535.89501953125,235.74749755859375,172.9199981689453,398.5400085449219
2025-03-05 19:30:00,206.55999755859375,20.614999771118164,14.725000381469727,120.37000274658203,536.155029296875,235.49000549316406,173.1999053955078,399.80499267578125
2025-03-05 20:00:00,207.0399932861328,20.920000076293945,14.734999656677246,120.58999633789062,537.1699829101562,236.0399932861328,173.50999450683594,400.8299865722656
2025-03-05 20:30:00,206.6999969482422,20.795000076293945,14.880000114440918,120.38999938964844,536.1599731445312,235.77000427246094,173.02000427246094,401.1300048828125
2025-03-06 14:30:00,202.97500610351562,20.360000610351562,14.640000343322754,119.0999984741211,528.260009765625,235.375,172.1199951171875,397.2650146484375
2025-03-06 15:00:00,204.77999877929688,20.83650016784668,14.954999923706055,119.75,531.9099731445312,236.47000122070312,174.49000549316406,401.2300109863281
2025-03-06 15:30:00,204.4582977294922,20.922399520874023,15.0,119.76000213623047,532.0900268554688,236.9499969482422,174.08999633789062,400.29998779296875
2025-03-06 16:00:00,204.27000427246094,20.940000534057617,15.079999923706055,119.7699966430664,531.9400024414062,236.77999877929688,174.2449951171875,399.8999938964844
2025-03-06 16:30:00,202.6750030517578,20.844999313354492,14.8100004196167,119.02999877929688,528.280029296875,234.93499755859375,172.4250030517578,396.67999267578125
2025-03-06 17:00:00,201.75999450683594,20.64189910888672,14.760000228881836,118.7300033569336,526.4299926757812,234.4149932861328,171.92999267578125,395.6427917480469
2025-03-06 17:30:00,201.8350067138672,20.674999237060547,14.819999694824219,118.80000305175781,526.9000244140625,235.0399932861328,172.38499450683594,397.4649963378906
2025-03-06 18:00:00,201.44000244140625,20.827199935913086,14.823599815368652,118.66999816894531,526.4400024414062,234.2949981689453,172.49000549316406,397.2300109863281
2025-03-06 18:30:00,201.34979248046875,20.864999771118164,14.8100004196167,118.58000183105469,526.0900268554688,234.27999877929688,172.2899932861328,396.8299865722656
2025-03-06 19:00:00,200.4199981689453,20.63559913635254,14.579999923706055,118.29000091552734,524.719970703125,233.69000244140625,171.78500366210938,395.3023986816406
2025-03-06 19:30:00,200.67999267578125,20.69499969482422,14.649999618530273,118.37999725341797,525.0800170898438,234.41000366210938,171.6199951171875,395.05999755859375
2025-03-06 20:00:00,201.1199951171875,20.770000457763672,14.84000015258789,118.72000122070312,526.8699951171875,235.17999267578125,172.3699951171875,396.9200134277344
2025-03-06 20:30:00,201.02000427246094,20.760000228881836,14.829999923706055,118.55999755859375,526.7000122070312,235.32000732421875,172.3800048828125,397.0299987792969
2025-03-07 14:30:00,201.69129943847656,20.8799991607666,15.114999771118164,118.98999786376953,527.7493286132812,238.3350067138672,172.58999633789062,392.5274963378906
2025-03-07 15:00:00,200.72000122070312,20.864999771118164,15.515000343322754,118.69000244140625,526.25,238.30999755859375,172.07000732421875,391.3900146484375
2025-03-07 15:30:00,200.38999938964844,20.639999389648438,15.199999809265137,118.47000122070312,524.8800048828125,238.9149932861328,171.86000061035156,390.8500061035156
2025-03-07 16:00:00,198.89500427246094,20.32710075378418,15.079999923706055,117.85749816894531,521.8900146484375,239.02000427246094,171.07000732421875,387.902587890625
2025-03-07 16:30:00,198.5496063232422,20.299999237060547,15.055000305175781,117.72000122070312,521.489990234375,239.2050018310547,171.22000122070312,386.5440979003906
2025-03-07 17:00:00,198.91160583496094,20.25979995727539,15.039999961853027,117.8499984741211,522.25,239.2899932861328,171.6300048828125,387.7300109863281
2025-03-07 17:30:00,199.8000030517578,20.225000381469727,15.255000114440918,118.24500274658203,524.27001953125,240.02999877929688,172.27999877929688,388.2550048828125
2025-03-07 18:00:00,200.6699981689453,20.299999237060547,15.34000015258789,118.61000061035156,526.3599853515625,240.41439819335938,173.38999938964844,390.1700134277344
2025-03-07 18:30:00,201.8990020751953,20.46500015258789,15.484999656677246,119.13999938964844,528.9199829101562,239.42999267578125,174.10479736328125,391.75
2025-03-07 19:00:00,202.7899932861328,20.625,15.569999694824219,119.41000366210938,530.1500244140625,239.64999389648438,174.72549438476562,393.6499938964844
